# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	51676
#@/user_id	435aafd9-22e7-4862-aa94-9a43e7cfcf27
bu liang 	不亮	c=1 d=7.00912e-26 t=51676
bu liao 	不了	c=4 d=3.47344e-14 t=51676
bu liao 	布料	c=3 d=2.0178e-53 t=51676
bu liu 	不留	c=1 d=1.91216e-38 t=51676
bu lu ping 	不錄屏	c=1 d=1.42342e-36 t=51676
bu man 	不滿	c=1 d=2.74271e-17 t=51676
bu ming que 	不明確	c=1 d=2.01157e-46 t=51676
bu neng 	不能	c=18 d=0.718924 t=51676
bu neng you 	不能有	c=1 d=1.09981e-31 t=51676
bu pi pei 	不匹配	c=1 d=1.07375e-43 t=51676
bu qi 	不起	c=7 d=0.000435072 t=51676
bu qi lai 	不起來	c=1 d=6.73981e-65 t=51676
bu qi zuo yong 	不起作用	c=2 d=1.63365e-39 t=51676
bu qia dang 	不恰當	c=1 d=1.34034e-05 t=51676
bu qie huan 	不切換	c=1 d=0.00190171 t=51676
bu quan 	補全	c=7 d=3.22779 t=51676
bu ran 	不然	c=6 d=0.458406 t=51676
bu rang 	不讓	c=0 d=1.75844e-53 t=51676
bu rong yi 	不容易	c=1 d=1.20212e-48 t=51676
bu ru 	不如	c=2 d=6.36029e-89 t=51676
bu shan chang 	不擅長	c=1 d=3.89275e-19 t=51676
bu shang 	補上	c=2 d=0.447614 t=51676
bu shao yu 	不少於	c=1 d=1.32809e-44 t=51676
bu sheng xiao 	不生效	c=2 d=0.865022 t=51676
bu shi 	不是	c=49 d=1.24504 t=51676
bu shi he 	不適合	c=1 d=1.21606e-66 t=51676
bu shi yong 	不使用	c=1 d=0.0103063 t=51676
bu shou 	不受	c=1 d=2.37695e-39 t=51676
