# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	61799
#@/user_id	PC-Windows
ben ying 	本應	c=1 d=8.8319e-69 t=61799
ben zhang 	本章	c=2 d=3.30254e-18 t=61799
ben zhi 	本質	c=27 d=1.25727e-17 t=61799
ben zhi shang 	本質上	c=2 d=8.38573e-18 t=61799
beng 	泵	c=1 d=4.5578e-51 t=61799
beng huai 	崩壞	c=5 d=1.39582e-64 t=61799
beng huai san 	崩壞三	c=1 d=1.35769e-68 t=61799
beng kui 	崩潰	c=1 d=1.72931e-32 t=61799
beng tie 	崩鐵	c=2 d=8.58723e-62 t=61799
bi 	幣	c=1 d=6.35684e-112 t=61799
bi 	必	c=6 d=0.0544757 t=61799
bi 	比	c=3 d=4.04399e-26 t=61799
bi 	畢	c=2 d=2.55286e-26 t=61799
bi 	閉	c=1 d=1.59631e-61 t=61799
bi a 	比啊	c=0 d=1.6833e-98 t=61799
bi a niang 	比啊娘	c=1 d=1.69173e-97 t=61799
bi bao 	閉包	c=2 d=1.88313e-115 t=61799
bi bei 	必備	c=1 d=4.45692e-23 t=61799
bi ji 	筆記	c=26 d=5.92699e-23 t=61799
bi ji ben 	筆記本	c=9 d=2.4566e-15 t=61799
bi jiao 	比較	c=20 d=8.15847e-13 t=61799
bi jiao chang 	比較長	c=1 d=7.55245e-22 t=61799
bi jiao da 	比較大	c=1 d=5.07999e-33 t=61799
bi jiao hao 	比較好	c=4 d=9.87121e-19 t=61799
bi lei 	避雷	c=1 d=6.64441e-15 t=61799
bi li 	比例	c=3 d=1.76514e-29 t=61799
bi mian 	避免	c=20 d=1.9152e-08 t=61799
bi ou shi 	必歐式	c=1 d=1.22473e-32 t=61799
bi ran 	必然	c=3 d=4.17856e-29 t=61799
bi ru 	比如	c=15 d=1.54178e-05 t=61799
bi she 	畢設	c=3 d=2.46849e-13 t=61799
bi wen 	必問	c=1 d=9.02011e-23 t=61799
bi xu 	必需	c=1 d=1.48514e-06 t=61799
bi xu 	必須	c=32 d=0.69428 t=61799
bi xu yao 	必須要	c=4 d=1.37638e-23 t=61799
bi xuan xiang 	必選項	c=1 d=5.35153e-28 t=61799
bi yao 	必要	c=3 d=1.31716e-35 t=61799
bi ye 	畢業	c=20 d=4.44247e-14 t=61799
bi ye sheng 	畢業生	c=1 d=4.97008e-11 t=61799
bi yu 	比喻	c=2 d=5.56501e-47 t=61799
bian 	便	c=3 d=1.06843e-14 t=61799
bian 	變	c=10 d=3.84258e-16 t=61799
bian 	遍	c=2 d=4.80127e-75 t=61799
bian 	邊	c=6 d=4.29325e-24 t=61799
bian bie 	辨別	c=1 d=1.24671e-06 t=61799
bian chang 	變長	c=0 d=1.53799e-36 t=61799
bian chang 	邊長	c=2 d=2.3016e-13 t=61799
bian chang a 	變長啊	c=1 d=1.5457e-35 t=61799
bian cheng 	編程	c=38 d=0.214381 t=61799
bian cheng 	變成	c=6 d=2.14151e-16 t=61799
bian cheng ti 	編程體	c=1 d=3.88312e-78 t=61799
bian de 	變得	c=1 d=2.60825e-102 t=61799
bian duo 	變多	c=1 d=4.57271e-60 t=61799
bian hao 	編號	c=131 d=8.17511e-05 t=61799
bian hou 	變厚	c=1 d=7.07957e-26 t=61799
bian hua 	變化	c=10 d=0.0250436 t=61799
bian huan 	變換	c=25 d=4.84676e-18 t=61799
bian huan dao 	變換到	c=3 d=9.4791e-24 t=61799
bian huan hou 	變換後	c=2 d=2.15691e-93 t=61799
bian hui 	便會	c=4 d=1.73335e-25 t=61799
bian hui shi 	便會是	c=1 d=7.55631e-28 t=61799
bian ji 	編輯	c=13 d=4.68453e-13 t=61799
bian ji ma 	編輯嗎	c=1 d=4.83897e-20 t=61799
bian ji qi 	編輯器	c=16 d=8.94022e-06 t=61799
